N,1,1,3
N,1,2,7
N,1,3,8
N,1,4,0
N,1,5,8
N,1,6,7
N,1,7,8
N,1,8,7
N,1,9,8
N,1,10,1
N,2,1,9
N,2,2,1
N,2,3,5
N,2,4,8
N,2,5,7
N,2,6,0
N,2,7,2
N,2,8,8
N,2,9,1
N,2,10,6
N,3,1,0
N,3,2,2
N,3,3,5
N,3,4,4
N,3,5,6
N,3,6,3
N,3,7,8
N,3,8,6
N,3,9,9
N,3,10,8
N,4,1,1
N,4,2,1
N,4,3,6
N,4,4,6
N,4,5,0
N,4,6,4
N,4,7,4
N,4,8,4
N,4,9,4
N,4,10,2
N,5,1,4
N,5,2,9
N,5,3,8
N,5,4,7
N,5,5,9
N,5,6,3
N,5,7,7
N,5,8,2
N,5,9,4
N,5,10,5
N,6,1,2
N,6,2,0
N,6,3,3
N,6,4,8
N,6,5,1
N,6,6,4
N,6,7,1
N,6,8,9
N,6,9,7
N,6,10,7
N,7,1,3
N,7,2,5
N,7,3,4
N,7,4,6
N,7,5,6
N,7,6,2
N,7,7,5
N,7,8,0
N,7,9,4
N,7,10,8
N,8,1,8
N,8,2,7
N,8,3,0
N,8,4,8
N,8,5,4
N,8,6,9
N,8,7,1
N,8,8,9
N,8,9,6
N,8,10,2
N,9,1,0
N,9,2,2
N,9,3,9
N,9,4,6
N,9,5,7
N,9,6,3
N,9,7,4
N,9,8,8
N,9,9,8
N,9,10,9
N,10,1,1
N,10,2,4
N,10,3,0
N,10,4,5
N,10,5,0
N,10,6,0
N,10,7,6
N,10,8,1
N,10,9,9
N,10,10,3
