M,1,1,9
M,1,2,1
M,1,3,1
M,1,4,8
M,1,5,7
M,1,6,8
M,1,7,0
M,1,8,8
M,1,9,9
M,1,10,1
M,2,1,2
M,2,2,7
M,2,3,9
M,2,4,9
M,2,5,5
M,2,6,3
M,2,7,0
M,2,8,9
M,2,9,8
M,2,10,2
M,3,1,4
M,3,2,0
M,3,3,5
M,3,4,9
M,3,5,0
M,3,6,3
M,3,7,4
M,3,8,5
M,3,9,2
M,3,10,8
M,4,1,0
M,4,2,0
M,4,3,2
M,4,4,8
M,4,5,6
M,4,6,1
M,4,7,4
M,4,8,5
M,4,9,4
M,4,10,7
M,5,1,3
M,5,2,5
M,5,3,1
M,5,4,6
M,5,5,7
M,5,6,4
M,5,7,5
M,5,8,1
M,5,9,0
M,5,10,3
M,6,1,9
M,6,2,6
M,6,3,7
M,6,4,2
M,6,5,4
M,6,6,3
M,6,7,5
M,6,8,2
M,6,9,2
M,6,10,8
M,7,1,2
M,7,2,6
M,7,3,4
M,7,4,1
M,7,5,3
M,7,6,0
M,7,7,7
M,7,8,7
M,7,9,1
M,7,10,8
M,8,1,3
M,8,2,6
M,8,3,4
M,8,4,2
M,8,5,1
M,8,6,9
M,8,7,4
M,8,8,9
M,8,9,8
M,8,10,9
M,9,1,1
M,9,2,5
M,9,3,8
M,9,4,6
M,9,5,9
M,9,6,6
M,9,7,0
M,9,8,6
M,9,9,4
M,9,10,8
M,10,1,6
M,10,2,8
M,10,3,1
M,10,4,4
M,10,5,9
M,10,6,1
M,10,7,4
M,10,8,5
M,10,9,0
M,10,10,5
